pick_number,round,orig_owner,team
136,10,Griddy Little Liars,Griddy Little Liars
137,10,Couch Potatoes,Couch Potatoes
138,10,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
139,10,Let Kelce Cook,Let Kelce Cook
140,10,Let's Ride,Andrews Hall Pass
141,11,Let's Ride,Let's Ride
142,11,Let Kelce Cook,All Aboard the Achane
143,11,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
144,11,Couch Potatoes,Pukachu
145,11,Griddy Little Liars,Griddy Little Liars
146,11,Tyreek’s Left Knee,Tyreek’s Left Knee
147,11,Andrews Hall Pass,Andrews Hall Pass
148,11,Pukachu,Pukachu
149,11,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
150,11,Shake n' Bake,Shake n' Bake
151,11,All Aboard the Achane,All Aboard the Achane
152,11,Allen the Family 🦬,Allen the Family 🦬
153,11,Sutton Ducks,Sutton Ducks
154,11,The Hoodie,Couch Potatoes
155,12,The Hoodie,The Hoodie
156,12,Sutton Ducks,Sutton Ducks
157,12,Allen the Family 🦬,Allen the Family 🦬
158,12,All Aboard the Achane,All Aboard the Achane
159,12,Shake n' Bake,Shake n' Bake
160,12,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
161,12,Pukachu,Pukachu
162,12,Andrews Hall Pass,Andrews Hall Pass
163,12,Tyreek’s Left Knee,Tyreek’s Left Knee
164,12,Griddy Little Liars,Griddy Little Liars
165,12,Couch Potatoes,The Hoodie
166,12,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
167,12,Let Kelce Cook,Let Kelce Cook
168,12,Let's Ride,Andrews Hall Pass
169,13,Let's Ride,Let's Ride
170,13,Let Kelce Cook,Let Kelce Cook
171,13,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
172,13,Couch Potatoes,Couch Potatoes
173,13,Griddy Little Liars,Griddy Little Liars
174,13,Tyreek’s Left Knee,Tyreek’s Left Knee
175,13,Andrews Hall Pass,Andrews Hall Pass
176,13,Pukachu,Pukachu
177,13,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
178,13,Shake n' Bake,Shake n' Bake
179,13,All Aboard the Achane,All Aboard the Achane
180,13,Allen the Family 🦬,Allen the Family 🦬
181,13,Sutton Ducks,Sutton Ducks
182,13,The Hoodie,The Hoodie
183,14,The Hoodie,The Hoodie
184,14,Sutton Ducks,Sutton Ducks
185,14,Allen the Family 🦬,Allen the Family 🦬
186,14,All Aboard the Achane,All Aboard the Achane
187,14,Shake n' Bake,Shake n' Bake
188,14,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
189,14,Pukachu,Pukachu
190,14,Andrews Hall Pass,Andrews Hall Pass
191,14,Tyreek’s Left Knee,Tyreek’s Left Knee
192,14,Griddy Little Liars,Andrews Hall Pass
193,14,Couch Potatoes,Couch Potatoes
194,14,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
195,14,Let Kelce Cook,Andrews Hall Pass
196,14,Let's Ride,Let's Ride
197,15,Let's Ride,Let's Ride
198,15,Let Kelce Cook,Let Kelce Cook
199,15,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
200,15,Couch Potatoes,Couch Potatoes
201,15,Griddy Little Liars,Shake n' Bake
202,15,Tyreek’s Left Knee,Tyreek’s Left Knee
203,15,Andrews Hall Pass,Andrews Hall Pass
204,15,Pukachu,Pukachu
205,15,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
206,15,Shake n' Bake,Shake n' Bake
207,15,All Aboard the Achane,All Aboard the Achane
208,15,Allen the Family 🦬,Allen the Family 🦬
209,15,Sutton Ducks,Sutton Ducks
210,15,The Hoodie,The Hoodie
